Image_id,material_image_id,style_tags,design_description,user_preference,material_type,color_palette
26,26,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#0C013C, #59AB10, #D85D65"
27,27,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",fabric,"#182E6A, #A45CB0, #64D302"
28,28,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,metal,"#2385F7, #EA9CAD, #C3F35A"
29,29,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,glass,"#203BBE, #7B4891, #23C535"
30,30,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,leather,"#9B90DD, #0B29DE, #14E0D6"
31,31,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,fabric,"#788623, #151FA5, #B4F276"
32,32,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",wood,"#EED7C1, #73DCEB, #AA2D19"
33,33,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,leather,"#6E7803, #5084D6, #C12A7C"
34,34,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#B3F6FA, #65D51C, #4EA8F9"
35,35,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,wood,"#30D8D6, #8AD080, #29A5C7"
36,36,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,stone,"#148F0B, #AE78E9, #FA6164"
37,37,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,glass,"#1237C1, #599AAF, #C5AED2"
38,38,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,stone,"#205ACD, #0FE4B5, #9945D3"
39,39,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,metal,"#53459E, #36719A, #B7E386"
40,40,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,wood,"#631E48, #2BCEFE, #661B9B"
41,41,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,tile,"#D21AF0, #B63013, #D7F23A"
42,42,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,tile,"#02658D, #A4CD1B, #C04E8F"
43,43,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,tile,"#3039C4, #5CAE34, #EFE1AF"
44,44,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#DD5430, #EA7DF9, #106FC3"
45,45,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#0E2808, #888A18, #433531"
46,46,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#BB8D25, #569B78, #816F0F"
47,47,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,wood,"#067995, #82E0DB, #E828ED"
48,48,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,wood,"#D8479A, #5497FA, #E918E7"
49,49,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,stone,"#14B87D, #3ABE41, #C5CDF7"
50,50,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,metal,"#D71482, #5D57B7, #565204"
51,51,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,stone,"#A30ACC, #AD7722, #38ED04"
52,52,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",tile,"#BAEFEE, #0666B8, #E25DFE"
53,53,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,metal,"#5EDB1B, #0243F8, #FE9794"
54,54,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,leather,"#C66E87, #22671D, #D0B6E4"
55,55,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,marble,"#32AE15, #6E13EE, #C8B543"
56,56,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,leather,"#C962DE, #E88E7B, #E96938"
57,57,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",marble,"#B06247, #793480, #110EB5"
58,58,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,marble,"#89ACFE, #079025, #61F7F5"
59,59,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,leather,"#D72725, #08C308, #65410F"
60,60,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,metal,"#35D196, #C2D094, #B8CB3A"
61,61,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,marble,"#3C3C9C, #B04001, #2C2F94"
62,62,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,marble,"#6E4B8F, #1B203E, #94C97C"
63,63,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,wood,"#DD4329, #046727, #CCCE82"
64,64,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,stone,"#2FE8CE, #C8CCDE, #5552EC"
65,65,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,fabric,"#FD0050, #8FFBC3, #3EF40B"
66,66,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,glass,"#C0F476, #660ECC, #D26191"
67,67,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,fabric,"#06CF62, #04D55D, #0F0530"
68,68,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",tile,"#831035, #D5D171, #828F24"
69,69,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,leather,"#64B8C2, #90AD86, #1297CB"
70,70,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,wood,"#FDCE78, #178D26, #3CAB72"
71,71,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,tile,"#78BC09, #3FD8F6, #813CF6"
72,72,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,tile,"#3ECC6F, #498BAC, #AA59DB"
73,73,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,wood,"#893364, #98C7C7, #C01DAC"
74,74,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,metal,"#F92717, #606D54, #2F4CBB"
75,75,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,tile,"#C5D748, #866908, #7E3342"
76,76,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#2D09F9, #099529, #DC9B61"
77,77,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,fabric,"#BDB5AF, #A9EC0C, #5C5034"
78,78,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,fabric,"#FD1783, #785BA1, #2F439B"
79,79,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,marble,"#A1B6AB, #D3F818, #5D9814"
80,80,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,metal,"#B024BC, #2C4AA7, #5467B8"
81,81,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,wood,"#3EC277, #819B9F, #7E5D9F"
82,82,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,fabric,"#CD3850, #1C9CE7, #EE76F4"
83,83,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,marble,"#1DAC89, #AB20C3, #AC33BC"
84,84,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#166557, #725D8B, #8B4640"
85,85,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,marble,"#A6D601, #A207C5, #F6A2A8"
86,86,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,metal,"#951D52, #175761, #DA5977"
87,87,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,marble,"#2250CB, #D95D0F, #23C05B"
88,88,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,marble,"#DEB027, #432CBF, #6C2C35"
89,89,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,marble,"#EA67FA, #A20D8A, #6AE023"
90,90,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,leather,"#B73F09, #0DD5B6, #F60164"
91,91,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#E9D4BE, #0C23AF, #0D27F4"
92,92,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#EA28B8, #93043B, #F7762A"
93,93,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,metal,"#5FD7E9, #F040FD, #AF03BD"
94,94,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,glass,"#D26DB6, #988EBF, #05CD80"
95,95,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,stone,"#F0BA48, #31D899, #B8BE80"
96,96,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,fabric,"#3D942D, #010FFE, #FC088B"
97,97,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#54CD18, #16F567, #A2E072"
98,98,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,fabric,"#69EFF4, #5F81E7, #11F7AC"
99,99,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#41CD2D, #65AF53, #DFE7CB"
100,100,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,tile,"#4F8CF6, #4A229D, #2DA553"
101,101,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",tile,"#372D4C, #272053, #797B1B"
102,102,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,stone,"#51323F, #4F6557, #B89A63"
103,103,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,stone,"#4CB09E, #67E824, #534DF3"
104,104,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,stone,"#4CB2C6, #185857, #3641ED"
105,105,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,glass,"#85560D, #D6E675, #0B85C6"
106,106,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,tile,"#1DEF7D, #84BF1C, #AC1945"
107,107,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#8ADB2B, #8D422C, #362BC9"
108,108,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#35AEB4, #F8B594, #3B6D87"
109,109,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,wood,"#45CBC2, #546CFF, #D26553"
110,110,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,marble,"#626971, #E21B3D, #8F16B9"
111,111,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,tile,"#ED5DF0, #0F3FFE, #4CCDBF"
112,112,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,fabric,"#AB141C, #139160, #1A1A2C"
113,113,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,fabric,"#78FBFD, #4D752D, #8A6F77"
114,114,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,glass,"#EB1EE5, #0EE5E5, #ABCFD8"
115,115,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,wood,"#AC7585, #56EDEE, #ADC18E"
116,116,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,wood,"#4FD89B, #5A3BE5, #8DE396"
117,117,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#A180AA, #DB8690, #8B65B2"
118,118,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,metal,"#09CA1D, #3FBA84, #854314"
119,119,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#53758B, #4AF809, #91D1E9"
120,120,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,stone,"#6C98C7, #7220F1, #CA65BD"
121,121,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,fabric,"#7D1F2D, #062601, #2EF758"
122,122,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#4B00DA, #4FC342, #91FBAB"
123,123,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,leather,"#318344, #859BEF, #A79606"
124,124,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#4F2FEB, #CB8BE9, #B08561"
125,125,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,glass,"#91D262, #4CBD8B, #40C402"
126,126,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,tile,"#A1636E, #43490C, #48BA2B"
127,127,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#2665CD, #1A1FC0, #5F5C20"
128,128,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#7C8CF9, #ED3E10, #A736F7"
129,129,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,tile,"#7DF664, #B4AE87, #1AED6B"
130,130,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,fabric,"#265D44, #0CBAE9, #E171C7"
131,131,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,fabric,"#2B2D2E, #9C3B0B, #FE1921"
132,132,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#F8ED55, #9B6A47, #D6F2A6"
133,133,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,marble,"#CC2ED7, #6D3A56, #ABDE32"
134,134,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,metal,"#F8311C, #6F5F1D, #9324F1"
135,135,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,fabric,"#66C50A, #3A86FA, #96E2D4"
136,136,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,leather,"#1FC359, #1702FA, #C0BE64"
137,137,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",marble,"#D60EED, #02C3B9, #7AEFC2"
138,138,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,fabric,"#E9C496, #C57816, #FE34FD"
139,139,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#1F404C, #23F015, #E9DFFF"
140,140,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,wood,"#35146F, #51F76C, #19441C"
141,141,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,fabric,"#CF0358, #46D326, #2CDA83"
142,142,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,glass,"#9C0153, #6C03C0, #0A0585"
143,143,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#D56B3C, #F3E7E7, #28FCD6"
144,144,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,leather,"#288392, #FBA218, #02EE83"
145,145,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,stone,"#AE593E, #CFC5BC, #E95E65"
146,146,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,stone,"#AC1904, #CE67DD, #D730CE"
147,147,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,metal,"#319206, #4AE23B, #5C8AA5"
148,148,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,metal,"#B21142, #603388, #DBAD8D"
149,149,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,glass,"#CCA7C6, #D232D2, #19B5B1"
150,150,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,fabric,"#AAC5D1, #3DC42F, #141EB0"
151,151,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,metal,"#03B487, #60F1E7, #6011E8"
152,152,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,leather,"#F7BB5A, #939FE6, #44A603"
153,153,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#69A013, #14A2AB, #B4060C"
154,154,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,metal,"#0645D6, #54397D, #7FF5FB"
155,155,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,metal,"#9EB19A, #A84C68, #5F9F67"
156,156,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,leather,"#D36B0C, #E256D4, #B5298E"
157,157,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,stone,"#699AC5, #7DB87A, #7AA771"
158,158,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,fabric,"#3DE4FF, #92E205, #B2DCE9"
159,159,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,leather,"#FF8EE2, #B651D1, #7C195D"
160,160,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,tile,"#3203A8, #E8EB93, #79DAE0"
161,161,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,metal,"#5B60D6, #B2B7F4, #872D51"
162,162,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,leather,"#F25051, #69EB20, #A9A4F4"
163,163,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,marble,"#971E40, #ED1F95, #18029C"
164,164,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,glass,"#73272A, #1D5BA8, #A97854"
165,165,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,stone,"#E16A79, #599322, #3BC067"
166,166,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,leather,"#F3CBF2, #08E1CB, #E7C65C"
167,167,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,leather,"#8D724F, #01550A, #275500"
168,168,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,wood,"#C4547E, #985481, #A60178"
169,169,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,stone,"#478EF8, #7EB4DD, #5A4644"
170,170,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,stone,"#4C07E6, #435827, #4088F6"
171,171,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,fabric,"#404162, #9C5870, #A79F12"
172,172,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,glass,"#8274FB, #C30D95, #1A927D"
173,173,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,stone,"#4E97D2, #C6071C, #BBAEF8"
174,174,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,marble,"#F2CF87, #7092AF, #5DE82E"
175,175,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,stone,"#72C229, #6A1413, #CF8926"
176,176,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,tile,"#E6A5E0, #22829A, #A0A89F"
177,177,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,wood,"#7E32D4, #0BCE1C, #7E908B"
178,178,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,wood,"#580B30, #74356A, #A751DB"
179,179,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,marble,"#ED8EA6, #E059F4, #2214A0"
180,180,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,leather,"#E179CD, #43BB9A, #D7B674"
181,181,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,stone,"#2B1A1F, #CB9A4E, #CDC463"
182,182,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,tile,"#47E013, #09E62A, #D1853C"
183,183,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,marble,"#27D2D9, #CEC310, #87A365"
184,184,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",wood,"#BA6746, #BBCA81, #382462"
185,185,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,marble,"#F89645, #0E453D, #8625FB"
186,186,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",fabric,"#49B201, #F5A356, #231566"
187,187,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,tile,"#38E448, #924DA7, #8E6B2A"
188,188,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,wood,"#8EF6CA, #A96EC8, #AB155C"
189,189,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,marble,"#2E10BB, #D77B28, #BDEA41"
190,190,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,fabric,"#0F406E, #D195DF, #40B04F"
191,191,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,marble,"#BD78B7, #1F7B34, #78EEEF"
192,192,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,leather,"#D76B60, #F7E9FA, #10BBC5"
193,193,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,glass,"#AB294C, #C009D4, #9B403F"
194,194,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,metal,"#ECEA19, #351C05, #E502E2"
195,195,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,fabric,"#34F35C, #3B0FB8, #CF9D43"
196,196,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,stone,"#7C6738, #085609, #27719A"
197,197,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,leather,"#B189AC, #1025E5, #EDF350"
198,198,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#07873A, #7A31C0, #A3B8AC"
199,199,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,stone,"#2080CC, #87C781, #801DA0"
200,200,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,stone,"#3B95CE, #EBF70F, #68C56C"
201,201,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,stone,"#F30C4A, #6CAB74, #B91941"
