Image_id,material_image_id,style_tags_boho,style_tags_industrial,style_tags_minimalist,style_tags_scandinavian,material_type_fabric,material_type_glass,material_type_leather,material_type_marble,material_type_metal,material_type_stone,material_type_tile,material_type_wood,clean_design_description,user_preference,color1,color2,color3
30,30,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,scandinavian style kitchen emphasizing light and functionality,likes cozy atmospheres with functional design,#9B90DD, #0B29DE, #14E0D6
31,31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a colorful free spirited bedroom with mixed textures and cozy lighting,likes vibrant colors and handmade decor,#788623, #151FA5, #B4F276
32,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a warehouse inspired kitchen featuring raw materials,"wants a modern, urban atmosphere",#EED7C1, #73DCEB, #AA2D19
33,33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#6E7803, #5084D6, #C12A7C
34,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,prefers natural fabrics and artistic patterns,#B3F6FA, #65D51C, #4EA8F9
35,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a bright airy living room with wooden floors and cozy fabrics,wants warm minimalism and neutral colors,#30D8D6, #8AD080, #29A5C7
36,36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a simple clean space with neutral colors and open areas,prefers simplicity and neutral palettes,#148F0B, #AE78E9, #FA6164
37,37,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,wants a calm and functional design,#1237C1, #599AAF, #C5AED2
38,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,industrial style office with concrete walls and metal accents,likes metal finishes and exposed structures,#205ACD, #0FE4B5, #9945D3
39,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,wants a calm and functional design,#53459E, #36719A, #B7E386
40,40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#631E48, #2BCEFE, #661B9B
41,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a cozy bedroom with soft textiles and neutral tones,prefers light woods and natural fabrics,#D21AF0, #B63013, #D7F23A
42,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a cozy bedroom with soft textiles and neutral tones,likes cozy atmospheres with functional design,#02658D, #A4CD1B, #C04E8F
43,43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#3039C4, #5CAE34, #EFE1AF
44,44,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,likes clean lines and clutter-free spaces,#DD5430, #EA7DF9, #106FC3
45,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,loves eclectic vibes and cozy textures,#0E2808, #888A18, #433531
46,46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#BB8D25, #569B78, #816F0F
47,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#067995, #82E0DB, #E828ED
48,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a vibrant space with eclectic patterns and layered textiles,likes vibrant colors and handmade decor,#D8479A, #5497FA, #E918E7
49,49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,wants a calm and functional design,#14B87D, #3ABE41, #C5CDF7
50,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,industrial style office with concrete walls and metal accents,likes metal finishes and exposed structures,#D71482, #5D57B7, #565204
51,51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a cozy bedroom with soft textiles and neutral tones,prefers light woods and natural fabrics,#A30ACC, #AD7722, #38ED04
52,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a modern loft with exposed brick and steel finishes,"wants a modern, urban atmosphere",#BAEFEE, #0666B8, #E25DFE
53,53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#5EDB1B, #0243F8, #FE9794
54,54,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a bright airy living room with wooden floors and cozy fabrics,likes cozy atmospheres with functional design,#C66E87, #22671D, #D0B6E4
55,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a vibrant space with eclectic patterns and layered textiles,prefers natural fabrics and artistic patterns,#32AE15, #6E13EE, #C8B543
56,56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,wants a calm and functional design,#C962DE, #E88E7B, #E96938
57,57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a modern loft with exposed brick and steel finishes,"wants a modern, urban atmosphere",#B06247, #793480, #110EB5
58,58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a warehouse inspired kitchen featuring raw materials,prefers raw textures and darker tones,#89ACFE, #079025, #61F7F5
59,59,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#D72725, #08C308, #65410F
60,60,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,scandinavian style kitchen emphasizing light and functionality,prefers light woods and natural fabrics,#35D196, #C2D094, #B8CB3A
61,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#3C3C9C, #B04001, #2C2F94
62,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#6E4B8F, #1B203E, #94C97C
63,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a colorful free spirited bedroom with mixed textures and cozy lighting,loves eclectic vibes and cozy textures,#DD4329, #046727, #CCCE82
64,64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a modern loft with exposed brick and steel finishes,likes metal finishes and exposed structures,#2FE8CE, #C8CCDE, #5552EC
65,65,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,wants a calm and functional design,#FD0050, #8FFBC3, #3EF40B
66,66,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,prefers simplicity and neutral palettes,#C0F476, #660ECC, #D26191
67,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a modern loft with exposed brick and steel finishes,likes metal finishes and exposed structures,#06CF62, #04D55D, #0F0530
68,68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a warehouse inspired kitchen featuring raw materials,"wants a modern, urban atmosphere",#831035, #D5D171, #828F24
69,69,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a colorful free spirited bedroom with mixed textures and cozy lighting,loves eclectic vibes and cozy textures,#64B8C2, #90AD86, #1297CB
70,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a modern loft with exposed brick and steel finishes,likes metal finishes and exposed structures,#FDCE78, #178D26, #3CAB72
71,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a simple clean space with neutral colors and open areas,wants a calm and functional design,#78BC09, #3FD8F6, #813CF6
72,72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#3ECC6F, #498BAC, #AA59DB
73,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a vibrant space with eclectic patterns and layered textiles,likes vibrant colors and handmade decor,#893364, #98C7C7, #C01DAC
74,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#F92717, #606D54, #2F4CBB
75,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#C5D748, #866908, #7E3342
76,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a bedroom with white walls simple furniture and natural light,wants a calm and functional design,#2D09F9, #099529, #DC9B61
77,77,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#BDB5AF, #A9EC0C, #5C5034
78,78,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scandinavian style kitchen emphasizing light and functionality,wants warm minimalism and neutral colors,#FD1783, #785BA1, #2F439B
79,79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a cozy bedroom with soft textiles and neutral tones,likes cozy atmospheres with functional design,#A1B6AB, #D3F818, #5D9814
80,80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a modern loft with exposed brick and steel finishes,likes metal finishes and exposed structures,#B024BC, #2C4AA7, #5467B8
81,81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a vibrant space with eclectic patterns and layered textiles,loves eclectic vibes and cozy textures,#3EC277, #819B9F, #7E5D9F
82,82,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#CD3850, #1C9CE7, #EE76F4
83,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#1DAC89, #AB20C3, #AC33BC
84,84,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,industrial style office with concrete walls and metal accents,prefers raw textures and darker tones,#166557, #725D8B, #8B4640
85,85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#A6D601, #A207C5, #F6A2A8
86,86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a warehouse inspired kitchen featuring raw materials,prefers raw textures and darker tones,#951D52, #175761, #DA5977
87,87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,likes clean lines and clutter-free spaces,#2250CB, #D95D0F, #23C05B
88,88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,likes clean lines and clutter-free spaces,#DEB027, #432CBF, #6C2C35
89,89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,prefers simplicity and neutral palettes,#EA67FA, #A20D8A, #6AE023
90,90,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#B73F09, #0DD5B6, #F60164
91,91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a colorful free spirited bedroom with mixed textures and cozy lighting,prefers natural fabrics and artistic patterns,#E9D4BE, #0C23AF, #0D27F4
92,92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bohemian style living room full of plants and handmade decor,prefers natural fabrics and artistic patterns,#EA28B8, #93043B, #F7762A
93,93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,wants a calm and functional design,#5FD7E9, #F040FD, #AF03BD
94,94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,likes clean lines and clutter-free spaces,#D26DB6, #988EBF, #05CD80
95,95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#F0BA48, #31D899, #B8BE80
96,96,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,wants a calm and functional design,#3D942D, #010FFE, #FC088B
97,97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#54CD18, #16F567, #A2E072
98,98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a colorful free spirited bedroom with mixed textures and cozy lighting,loves eclectic vibes and cozy textures,#69EFF4, #5F81E7, #11F7AC
99,99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a vibrant space with eclectic patterns and layered textiles,likes vibrant colors and handmade decor,#41CD2D, #65AF53, #DFE7CB
100,100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a bedroom with white walls simple furniture and natural light,likes clean lines and clutter-free spaces,#4F8CF6, #4A229D, #2DA553
101,101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a modern loft with exposed brick and steel finishes,"wants a modern, urban atmosphere",#372D4C, #272053, #797B1B
102,102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,bohemian style living room full of plants and handmade decor,likes vibrant colors and handmade decor,#51323F, #4F6557, #B89A63
103,103,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,industrial style office with concrete walls and metal accents,prefers raw textures and darker tones,#4CB09E, #67E824, #534DF3
104,104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a warehouse inspired kitchen featuring raw materials,prefers raw textures and darker tones,#4CB2C6, #185857, #3641ED
105,105,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,likes clean lines and clutter-free spaces,#85560D, #D6E675, #0B85C6
106,106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,scandinavian style kitchen emphasizing light and functionality,prefers light woods and natural fabrics,#1DEF7D, #84BF1C, #AC1945
107,107,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,likes clean lines and clutter-free spaces,#8ADB2B, #8D422C, #362BC9
108,108,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a warehouse inspired kitchen featuring raw materials,likes metal finishes and exposed structures,#35AEB4, #F8B594, #3B6D87
109,109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,scandinavian style kitchen emphasizing light and functionality,prefers light woods and natural fabrics,#45CBC2, #546CFF, #D26553
110,110,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a cozy bedroom with soft textiles and neutral tones,wants warm minimalism and neutral colors,#626971, #E21B3D, #8F16B9
111,111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a warehouse inspired kitchen featuring raw materials,prefers raw textures and darker tones,#ED5DF0, #0F3FFE, #4CCDBF
112,112,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minimalist living room with sleek furniture and uncluttered design,prefers simplicity and neutral palettes,#AB141C, #139160, #1A1A2C
113,113,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a bright airy living room with wooden floors and cozy fabrics,prefers light woods and natural fabrics,#78FBFD, #4D752D, #8A6F77
114,114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#EB1EE5, #0EE5E5, #ABCFD8
115,115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a simple clean space with neutral colors and open areas,prefers simplicity and neutral palettes,#AC7585, #56EDEE, #ADC18E
116,116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a bedroom with white walls simple furniture and natural light,wants a calm and functional design,#4FD89B, #5A3BE5, #8DE396
117,117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a cozy bedroom with soft textiles and neutral tones,prefers light woods and natural fabrics,#A180AA, #DB8690, #8B65B2
118,118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,likes clean lines and clutter-free spaces,#09CA1D, #3FBA84, #854314
119,119,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a simple clean space with neutral colors and open areas,likes clean lines and clutter-free spaces,#53758B, #4AF809, #91D1E9
120,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,likes clean lines and clutter-free spaces,#6C98C7, #7220F1, #CA65BD
121,121,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a modern loft with exposed brick and steel finishes,prefers raw textures and darker tones,#7D1F2D, #062601, #2EF758
122,122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a vibrant space with eclectic patterns and layered textiles,likes vibrant colors and handmade decor,#4B00DA, #4FC342, #91FBAB
123,123,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,industrial style office with concrete walls and metal accents,likes metal finishes and exposed structures,#318344, #859BEF, #A79606
124,124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bohemian style living room full of plants and handmade decor,prefers natural fabrics and artistic patterns,#4F2FEB, #CB8BE9, #B08561
125,125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,a modern loft with exposed brick and steel finishes,likes metal finishes and exposed structures,#91D262, #4CBD8B, #40C402
126,126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,scandinavian style kitchen emphasizing light and functionality,wants warm minimalism and neutral colors,#A1636E, #43490C, #48BA2B
127,127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,scandinavian style kitchen emphasizing light and functionality,likes cozy atmospheres with functional design,#2665CD, #1A1FC0, #5F5C20
128,128,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a bedroom with white walls simple furniture and natural light,prefers simplicity and neutral palettes,#7C8CF9, #ED3E10, #A736F7
129,129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,a colorful free spirited bedroom with mixed textures and cozy lighting,prefers natural fabrics and artistic patterns,#7DF664, #B4AE87, #1AED6B
130,130,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a vibrant space with eclectic patterns and layered textiles,likes vibrant colors and handmade decor,#265D44, #0CBAE9, #E171C7
